,年月日,平均気温(℃),平均現地気圧(hPa),最大風速(m/s),最低気温(℃),最高気温(℃)
0,2021/9/29,24.3,1004.7,7.7,21.6,26.3
1,2021/9/30,24.1,997.7,9.6,22.7,25.9
2,2021/10/1,25.5,990.9,8.0,23.1,28.1
3,2021/10/2,24.1,1002.8,8.5,20.7,27.5
4,2021/10/3,23.5,1013.9,7.2,19.6,27.5
5,2021/10/4,24.4,1017.1,5.3,21.5,27.7
6,2021/10/5,23.5,1013.9,5.9,20.5,26.8
7,2021/10/6,23.8,1009.4,4.4,20.1,27.0
8,2021/10/7,24.8,1010.3,7.6,22.4,28.4
9,2021/10/8,23.9,1012.7,4.7,21.4,27.5
10,2021/10/9,24.0,1015.1,7.6,21.3,27.7
11,2021/10/10,24.4,1014.0,7.2,22.5,27.9
12,2021/10/11,24.3,1011.0,4.6,22.3,27.5
13,2021/10/12,24.4,1012.8,5.1,21.6,27.9
14,2021/10/13,23.8,1011.8,4.5,22.2,27.3
15,2021/10/14,23.1,1008.7,5.9,21.2,26.4
16,2021/10/15,22.6,1007.2,3.8,20.1,26.0
17,2021/10/16,23.4,1005.4,6.1,20.2,27.2
18,2021/10/17,19.5,1005.0,6.7,15.2,23.4
19,2021/10/18,16.3,1011.5,5.4,14.2,18.4
20,2021/10/19,17.5,1005.9,7.5,15.0,19.8
21,2021/10/20,16.2,1005.7,8.8,13.0,18.7
22,2021/10/21,15.1,1008.8,3.9,12.6,18.1
23,2021/10/22,16.6,1005.8,5.0,14.7,19.5
24,2021/10/23,16.5,1012.4,8.3,13.3,20.7
25,2021/10/24,16.6,1016.2,5.5,12.1,20.5
26,2021/10/25,16.2,1009.6,10.1,14.7,18.8
27,2021/10/26,17.9,1006.2,4.2,14.0,23.1
28,2021/10/27,19.1,1007.9,6.9,15.9,23.9
29,2021/10/28,18.6,1007.9,6.8,15.9,22.5
30,2021/10/29,17.5,1011.0,4.7,14.4,22.2
31,2021/10/30,17.8,1015.4,5.9,15.0,21.1
32,2021/10/31,18.9,1013.4,7.2,17.2,21.7
33,2021/11/1,19.3,1011.3,4.8,16.4,22.6
34,2021/11/2,19.2,1007.4,4.6,16.6,23.5
35,2021/11/3,18.0,1005.8,5.9,14.7,21.5
36,2021/11/4,17.8,1006.7,8.5,13.8,22.4
37,2021/11/5,17.3,1009.7,4.2,14.5,20.8
38,2021/11/6,17.2,1010.1,6.1,14.6,20.2
39,2021/11/7,16.9,1010.1,10.4,15.9,18.8
40,2021/11/8,20.3,1007.5,10.8,18.0,23.4
41,2021/11/9,18.3,998.1,9.4,14.5,22.0
42,2021/11/10,15.7,999.0,11.7,13.6,17.5
43,2021/11/11,16.0,1001.6,13.1,12.7,18.0
44,2021/11/12,14.5,1005.4,11.5,11.9,16.9
45,2021/11/13,13.8,1011.1,6.0,11.1,16.8
46,2021/11/14,14.9,1010.8,6.5,12.2,18.3
47,2021/11/15,15.0,1010.8,4.5,11.3,19.8
48,2021/11/16,16.1,1011.6,7.9,12.6,20.2
49,2021/11/17,16.0,1012.3,4.5,12.9,19.8
50,2021/11/18,15.5,1010.5,4.1,13.4,17.9
51,2021/11/19,16.1,1008.4,4.4,14.1,20.0
52,2021/11/20,16.2,1009.6,4.5,13.3,20.2
53,2021/11/21,16.9,1011.0,5.7,13.9,19.7
54,2021/11/22,17.8,999.9,10.5,13.5,20.9
55,2021/11/23,11.6,1003.3,10.2,10.1,13.6
56,2021/11/24,12.1,1007.7,10.7,10.8,14.1
57,2021/11/25,14.6,1008.8,8.3,10.2,17.0
58,2021/11/26,15.2,1010.7,8.8,12.6,17.8
59,2021/11/27,10.7,1018.3,9.7,6.3,13.5
60,2021/11/28,10.0,1022.8,4.4,5.7,14.1
61,2021/11/29,12.4,1020.4,4.3,8.6,16.1
62,2021/11/30,16.5,1009.7,12.5,12.3,19.6
63,2021/12/1,12.2,1000.3,13.0,7.5,18.6
64,2021/12/2,9.1,1009.6,9.2,6.1,12.3
65,2021/12/3,11.2,1007.7,8.7,8.1,14.7
66,2021/12/4,10.6,1009.9,9.1,8.7,12.4
67,2021/12/5,10.0,1018.1,5.2,7.0,13.0
68,2021/12/6,13.9,1015.6,6.2,9.5,17.8
69,2021/12/7,13.4,1008.6,4.7,11.6,14.5
70,2021/12/8,13.1,1012.1,6.7,10.1,16.1
71,2021/12/9,12.7,1018.1,4.1,9.3,16.7
72,2021/12/10,14.0,1015.8,5.5,11.1,17.5
73,2021/12/11,14.4,1015.0,7.8,10.6,18.3
74,2021/12/12,15.2,1009.0,8.6,12.4,18.3
75,2021/12/13,11.4,1009.8,9.3,7.8,14.3
76,2021/12/14,10.4,1012.2,7.6,6.2,13.5
77,2021/12/15,12.2,1012.9,8.1,9.8,14.9
78,2021/12/16,13.8,1011.1,7.7,8.8,17.3
79,2021/12/17,12.6,997.9,16.0,3.9,17.6
80,2021/12/18,5.0,1010.1,10.7,2.7,7.6
81,2021/12/19,7.2,1009.7,8.8,4.6,10.0
82,2021/12/20,8.7,1011.4,6.9,6.2,11.9
83,2021/12/21,11.6,1008.2,7.8,7.3,15.0
84,2021/12/22,12.3,1008.4,6.8,9.0,15.4
85,2021/12/23,10.3,1013.7,4.0,6.8,14.3
86,2021/12/24,11.6,1009.7,5.8,8.4,15.5
87,2021/12/25,11.1,1003.8,10.5,7.2,13.0
88,2021/12/26,4.2,1010.3,11.9,1.6,7.9
89,2021/12/27,4.0,1013.6,10.0,1.5,6.2
90,2021/12/28,7.1,1016.3,10.1,4.8,10.0
91,2021/12/29,9.7,1012.2,7.6,5.0,13.8
92,2021/12/30,10.2,1005.6,13.4,4.9,14.3
93,2021/12/31,5.3,1009.5,14.3,4.0,6.8
94,2022/1/1,5.6,1016.0,9.2,3.3,8.9
95,2022/1/2,7.8,1014.9,8.0,3.3,10.6
96,2022/1/3,9.2,1012.0,6.2,6.7,12.3
97,2022/1/4,8.9,1011.1,11.6,7.2,10.9
98,2022/1/5,7.3,1014.7,5.7,4.6,10.0
99,2022/1/6,6.6,1012.4,6.3,5.3,8.7
100,2022/1/7,7.0,1015.3,6.6,4.5,10.1
101,2022/1/8,8.3,1014.4,7.9,3.2,12.7
102,2022/1/9,11.1,1009.5,3.4,8.0,15.4
103,2022/1/10,11.5,1008.4,4.4,8.4,14.9
104,2022/1/11,9.2,999.3,10.6,4.5,12.7
105,2022/1/12,5.1,1003.5,11.4,3.9,6.9
106,2022/1/13,5.6,1001.8,13.0,2.4,8.7
107,2022/1/14,4.7,1008.2,9.7,1.9,7.1
108,2022/1/15,7.2,1012.4,8.2,3.7,10.2
109,2022/1/16,9.6,1011.4,9.5,5.1,12.9
110,2022/1/17,8.9,1008.8,10.2,5.5,11.1
111,2022/1/18,5.5,1010.1,11.6,3.7,7.6
112,2022/1/19,5.5,1010.9,7.9,1.4,9.5
113,2022/1/20,5.8,1009.0,12.1,3.8,8.3
114,2022/1/21,4.6,1015.7,6.9,2.1,8.5
115,2022/1/22,6.3,1016.7,4.2,2.0,10.7
116,2022/1/23,9.2,1010.8,6.2,6.4,10.7
117,2022/1/24,10.1,1004.2,4.8,7.1,14.6
118,2022/1/25,9.8,1009.1,4.8,5.5,14.0
119,2022/1/26,10.5,1009.2,9.4,7.1,14.2
120,2022/1/27,9.6,1009.3,7.6,6.6,13.7
121,2022/1/28,9.1,1007.9,8.9,5.4,12.8
122,2022/1/29,9.1,1005.3,7.4,6.2,12.1
123,2022/1/30,7.8,1004.6,4.8,6.0,9.3
124,2022/1/31,7.5,1009.1,8.4,5.1,10.3
125,2022/2/1,8.5,1010.9,12.2,5.9,11.7
126,2022/2/2,7.1,1013.3,9.8,4.5,10.5
127,2022/2/3,7.5,1010.6,7.5,4.6,9.7
128,2022/2/4,7.2,1007.2,8.0,4.8,11.4
129,2022/2/5,4.5,1007.2,9.9,2.5,6.1
130,2022/2/6,4.0,1011.4,10.1,2.4,6.2
131,2022/2/7,5.9,1015.0,10.0,2.7,9.5
132,2022/2/8,6.5,1013.7,4.3,5.3,7.6
133,2022/2/9,8.7,1012.5,4.2,4.5,12.5
134,2022/2/10,7.9,1007.7,5.4,6.2,10.5
135,2022/2/11,8.7,1011.4,5.0,3.9,13.9
136,2022/2/12,9.1,1014.0,4.3,5.3,13.3
137,2022/2/13,8.2,1008.8,8.1,6.9,9.7
138,2022/2/14,8.9,1007.0,5.7,7.5,10.9
139,2022/2/15,10.1,1005.8,13.3,7.0,13.4
140,2022/2/16,6.1,1004.5,8.6,3.0,8.7
141,2022/2/17,2.6,1009.0,10.1,0.7,4.5
142,2022/2/18,5.5,1017.7,6.2,0.8,9.9
143,2022/2/19,8.8,1010.0,6.9,5.2,11.3
144,2022/2/20,7.1,1002.3,12.4,3.3,10.7
145,2022/2/21,3.9,1013.3,9.8,2.2,6.7
146,2022/2/22,5.2,1014.7,11.0,2.5,8.9
147,2022/2/23,5.0,1015.8,7.9,0.9,8.9
148,2022/2/24,5.4,1014.7,8.8,3.1,9.7
149,2022/2/25,6.4,1014.9,11.5,1.5,10.9
150,2022/2/26,9.2,1012.9,9.7,3.8,12.9
151,2022/2/27,12.4,1008.4,13.5,8.1,15.0
152,2022/2/28,11.0,1013.1,9.4,5.9,14.9
153,2022/3/1,12.7,1005.8,10.9,8.4,16.2
154,2022/3/2,13.1,1003.5,9.6,9.5,15.6
155,2022/3/3,11.1,1005.9,9.1,7.9,15.0
