îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœåªínãCà≥(hPa),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈í·ãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
2021/9/29,24.3,1004.7,7.7,ìå,21.6,26.3
2021/9/30,24.1,997.7,9.6,ñkìå,22.7,25.9
2021/10/1,25.5,990.9,8,ñkìå,23.1,28.1
2021/10/2,24.1,1002.8,8.5,êº,20.7,27.5
2021/10/3,23.5,1013.9,7.2,ìå,19.6,27.5
2021/10/4,24.4,1017.1,5.3,ìåìÏìå,21.5,27.7
2021/10/5,23.5,1013.9,5.9,êº,20.5,26.8
2021/10/6,23.8,1009.4,4.4,êºñkêº,20.1,27
2021/10/7,24.8,1010.3,7.6,ìåñkìå,22.4,28.4
2021/10/8,23.9,1012.7,4.7,ìåñkìå,21.4,27.5
2021/10/9,24,1015.1,7.6,ìå,21.3,27.7
2021/10/10,24.4,1014,7.2,ìå,22.5,27.9
2021/10/11,24.3,1011,4.6,ìåñkìå,22.3,27.5
2021/10/12,24.4,1012.8,5.1,ìåìÏìå,21.6,27.9
2021/10/13,23.8,1011.8,4.5,ìå,22.2,27.3
2021/10/14,23.1,1008.7,5.9,ìåñkìå,21.2,26.4
2021/10/15,22.6,1007.2,3.8,ìÏìå,20.1,26
2021/10/16,23.4,1005.4,6.1,ìÏêº,20.2,27.2
2021/10/17,19.5,1005,6.7,ìÏêº,15.2,23.4
2021/10/18,16.3,1011.5,5.4,ñkñkìå,14.2,18.4
2021/10/19,17.5,1005.9,7.5,ñkìå,15,19.8
2021/10/20,16.2,1005.7,8.8,êºñkêº,13,18.7
2021/10/21,15.1,1008.8,3.9,ñkñkìå,12.6,18.1
2021/10/22,16.6,1005.8,5,êºñkêº,14.7,19.5
2021/10/23,16.5,1012.4,8.3,ñkñkêº,13.3,20.7
2021/10/24,16.6,1016.2,5.5,ñkìå,12.1,20.5
2021/10/25,16.2,1009.6,10.1,ìåñkìå,14.7,18.8
2021/10/26,17.9,1006.2,4.2,ñkìå,14,23.1
2021/10/27,19.1,1007.9,6.9,êº,15.9,23.9
2021/10/28,18.6,1007.9,6.8,ñkñkêº,15.9,22.5
2021/10/29,17.5,1011,4.7,ìÏìå,14.4,22.2
2021/10/30,17.8,1015.4,5.9,ñkìå,15,21.1
2021/10/31,18.9,1013.4,7.2,ñkìå,17.2,21.7
2021/11/1,19.3,1011.3,4.8,ìåìÏìå,16.4,22.6
2021/11/2,19.2,1007.4,4.6,ñk,16.6,23.5
2021/11/3,18,1005.8,5.9,êº,14.7,21.5
2021/11/4,17.8,1006.7,8.5,êº,13.8,22.4
2021/11/5,17.3,1009.7,4.2,êºìÏêº,14.5,20.8
2021/11/6,17.2,1010.1,6.1,ñkìå,14.6,20.2
2021/11/7,16.9,1010.1,10.4,ìåñkìå,15.9,18.8
2021/11/8,20.3,1007.5,10.8,ìå,18,23.4
2021/11/9,18.3,998.1,9.4,êº,14.5,22
2021/11/10,15.7,999,11.7,êº,13.6,17.5
2021/11/11,16,1001.6,13.1,êº,12.7,18
2021/11/12,14.5,1005.4,11.5,êº,11.9,16.9
2021/11/13,13.8,1011.1,6,êºñkêº,11.1,16.8
2021/11/14,14.9,1010.8,6.5,êº,12.2,18.3
2021/11/15,15,1010.8,4.5,êºñkêº,11.3,19.8
2021/11/16,16.1,1011.6,7.9,êº,12.6,20.2
2021/11/17,16,1012.3,4.5,ìÏìå,12.9,19.8
2021/11/18,15.5,1010.5,4.1,ñkìå,13.4,17.9
2021/11/19,16.1,1008.4,4.4,ìåñkìå,14.1,20
2021/11/20,16.2,1009.6,4.5,ñkñkìå,13.3,20.2
2021/11/21,16.9,1011,5.7,ìåñkìå,13.9,19.7
2021/11/22,17.8,999.9,10.5,ìÏêº,13.5,20.9
2021/11/23,11.6,1003.3,10.2,êº,10.1,13.6
2021/11/24,12.1,1007.7,10.7,êºñkêº,10.8,14.1
2021/11/25,14.6,1008.8,8.3,êº,10.2,17
2021/11/26,15.2,1010.7,8.8,êº,12.6,17.8
2021/11/27,10.7,1018.3,9.7,êºñkêº,6.3,13.5
2021/11/28,10,1022.8,4.4,êºìÏêº,5.7,14.1
2021/11/29,12.4,1020.4,4.3,ñkìå,8.6,16.1
2021/11/30,16.5,1009.7,12.5,ìÏìÏìå,12.3,19.6
2021/12/1,12.2,1000.3,13,êº,7.5,18.6
